"screen_name","mentions_screen_name"
"001cb2","b7ef17"
"002e6f","e8885b"
"005da3","35be99"
"0061c5","d76698,5e7263,325d59,325d59"
"006bef","88f179"
"007000","b670fd"
"008bb2","528e31,b34c7e"
"009f0b","1c8318"
"00a2d5","625a75,c6b5fe"
"00b437","0aafb6,5bd1d2,825bc3,31cf23"
"00da45","66918b"
"00fcf0","1397ce"
"0105c0","36be26,b27928"
"01172b","fde290"
"011c42","549cd6"
"0158da","172522"
"017e5e","07f610"
"0185a8","eb459f"
"018f1a","715ad4,5e1fb4"
"01ac08","68741a,69d6d3,d4cbe1,1ac91e,68741a,c0047f,d27f33"
"01b9c4","07a49c,6db6c7"
"01dcbf","4befbc,55c76f"
"020c89","17c95a,708504"
"02337b","5bd1d2"
"024f6c","eb399b"
"025011","73a193,73a193"
"025360","23b594"
"02537f","113c1b"
"025528","d4a937,0aafb6,b7ef17,a88bf6,80b751"
"0272ad","31cf23"
"027c41","765522"
"028967","22a592"
"028e5b","93d287"
"029470","66918b"
"02a4b2","8705f8,180dcb,8705f8,180dcb,8705f8,180dcb"
"02af66","0885c2"
"02edc1","0cf1bf"
"02f2ff","faa3e4,982eaa"
"03105f","e7fd1d"
"032228","0f1dce"
"032284","a1d2f4,05f376"
"032bfd","8e3f73"
"033c6a","dd1876,b3b57a,d4cbe1"
"035037","5dcfdc,9c1dd1"
"03604b","0ac1b0,fb6060,b329e2,c3ea54"
"03608a","b03c86,feed81,c0e638"
"036f32","6a9c0c,0300a9"
"037a25","8f37cf,8f37cf,1e10e7,a06f2b"
"03b506","fea019,7e6b6c"
"03c23e","e95296"
"03d30e","4af287,d58239,d4cbe1,1397ce,49defc"
"03df37","638967"
"03e353","2a9e2d"
"03f08c","66ca4e,66ca4e,66ca4e,66ca4e,66ca4e,66ca4e,66ca4e,66ca4e,66ca4e,66ca4e,66ca4e,66ca4e"
"041245","97cc4f,1003eb,b3cdb3"
"042736","12bed6,31cf23,bb4188"
"042b01","ccbfbd"
"043c16","6a17fe"
"044e43","4a655f"
"04549f","1397ce"
"045d37","31cf23"
"046251","31cf23"
"0464db","73484f,95cc64,29000b,c0115e,c8fbc4,423109,191baa,95cc64,cfa655,756961"
"047303","3f5289"
"049f49","07f610"
"04b3e1","45de19,2a8c0a,5e1fb4"
"04bad8","b487c3,b958c4"
"04d06a","075a3e"
"0506ba","45242b"
"05097e","3e6172,090264"
"051360","07f610"
"051abc","b1b472,f41d1e,7c8d3b"
"051d7a","ded482"
"051e18","31cf23"
"058930","35be99,5bd1d2,ebd2d0,43288a,35be99,5bd1d2,ebd2d0,f1d246,d94c88"
"05a306","05244d"
"05b348","829dbd"
"05bee0","ade7b8,4acedb,ed4f8b,28c8e9"
"061879","e164dd,e02d90,e02d90,e164dd,b3b57a,e164dd,e02d90,b3b57a"
"061e63","ab079a"
"062824","f1281c,1397ce"
"063bd5","af3a71,45ce0f"
